,files,keys,en,vi,ms,th,ru,zh-Hans,ar,id
0,SKOR/New Appreciation flow/Appreciation Feeds/AppreciateOrganizationFilterViewController.strings,"""QZc-Xm-Eo3.normalTitle""","""Clear"";","""Xóa"";","""Clear"";","""ล้าง"";","""Прозрачный"";","""清除"";",,"""Jelas"";"
1,SKOR/New Appreciation flow/Appreciation Feeds/AppreciateOrganizationFilterViewController.strings,"""cpU-j3-fD4.normalTitle""","""Apply"";","""Áp dụng"";","""Apply"";","""นำไปใช้"";","""Применить"";","""应用"";",,"""Tetapan"";"
2,SKOR/New Appreciation flow/Appreciation Feeds/AppreciateOrganizationFilterViewController.strings,"""KNr-ti-1zB.text""","""APPRECIATE"";","""GHI NHẬN"";","""APPRECIATE"";","""ซาบซึ้ง"";","""ЦЕНИТЬ"";","""赞赏"";",,"""PENGHARGAAN"";"
3,SKOR/New Appreciation flow/Appreciation Feeds/AppreciateOrganizationFilterViewController.strings,"""HP2-bJ-585.text""","""Filter by Strength"";","""Lọc theo Giá trị Cốt lõi"";","""Filter by Strength"";","""กรองโดยจุดเด่น"";","""Фильтр по силе"";","""Filter by Strength"";",,"""Tapis mengikut Kekuatan"";"
0,SKOR/Receipt/Receipt list/ReceiptsViewController.strings,"""Bkj-t9-Lb7.placeholder""","""   Search"";","""    Tìm kiếm"";","""   Search"";","""   ค้นหาใบเสร็จ"";","""   Поиск"";","""   搜索"";",,"""   Cari"";"
1,SKOR/Receipt/Receipt list/ReceiptsViewController.strings,"""0fF-G0-qd6.text""","""RECEIPTS"";","""Biên nhận"";","""RECEIPTS"";","""ใบเสร็จ"";","""ЧЕКИ"";","""收益"";",,"""RESIT"";"
2,SKOR/Receipt/Receipt list/ReceiptsViewController.strings,"""rQI-P9-3OD.normalTitle""","""Cancel"";","""Hủy"";","""Cancel"";","""ยกเลิก"";","""Отмена"";","""取消"";",,"""Batal"";"
0,SKOR/New Appreciation flow/Appreciation Feeds/CustomViews/LikedUserViewController.strings,"""xX5-Hv-u1n.normalTitle""","""OK"";","""ĐỒNG Ý"";","""OK"";","""ตกลง"";","""OK"";","""还行"";",,"""OK"";"
1,SKOR/New Appreciation flow/Appreciation Feeds/CustomViews/LikedUserViewController.strings,"""5rg-cb-M4r.text""","""Likes"";","""Lượt thích"";","""Likes"";","""ชอบ"";","""Нравится"";","""赞"";",,"""Suka"";"
2,SKOR/New Appreciation flow/Appreciation Feeds/CustomViews/LikedUserViewController.strings,"""u6A-OE-NEB.text""","""0"";","""0"";","""0"";","""0"";","""0"";","""0"";",,"""0"";"
3,SKOR/New Appreciation flow/Appreciation Feeds/CustomViews/LikedUserViewController.strings,"""Vhv-yb-rYa.text""","""All"";","""Tất cả"";","""All"";","""ทั้งหมด"";","""Все"";","""全部"";",,"""Semua"";"
0,SKOR/Receipt/Receipt Detail/ReceiptDetailViewController.strings,"""LWc-jK-VB9.text""","""UPLOAD RECEIPT"";","""TẢI LÊN BIÊN NHẬN"";","""UPLOAD RECEIPT"";","""อัพโหลดใบเสร็จ"";","""ЗАГРУЗИТЬ ЧЕК"";","""UPLOAD RECEIPT"";",,"""Muat naik resit"";"
1,SKOR/Receipt/Receipt Detail/ReceiptDetailViewController.strings,"""Y5o-MG-Iwi.normalTitle""","""Cancel"";","""Hủy"";","""Cancel"";","""ยกเลิก"";","""Отмена"";","""取消"";",,"""Batal"";"
2,SKOR/Receipt/Receipt Detail/ReceiptDetailViewController.strings,"""7ZZ-CT-TPC.text""","""Label"";",,,"""Label"";","""Метка"";","""Label"";",,"""Label"";"
3,SKOR/Receipt/Receipt Detail/ReceiptDetailViewController.strings,"""9Bv-75-auq.text""","""1/5"";",,,"""1/5"";","""1/5"""";","""1/5"";",,"""1/5"";"
4,SKOR/Receipt/Receipt Detail/ReceiptDetailViewController.strings,"""yy5-K6-bq7.text""","""Error"";",,,"""ผิดพลาด"";","""Error"";","""Error"";",,"""Kesilapan"";"
5,SKOR/Receipt/Receipt Detail/ReceiptDetailViewController.strings,"""8sh-Bm-Axr.normalTitle""","""Upload"";","""Tải lên"";","""Upload"";","""อัพโหลด"";","""Загрузить"";","""Upload"";",,"""Muat naik"";"
0,SKOR/Presentation Layer/Rewards/RedeemView/Custom Cell/RedeemTermsandConditionsTableViewCell/RedeemTermsandConditionsTableViewCell.strings,"""XYJ-vv-bsW.text""","""Terms & Conditions"";","""Điều khoản và điều kiện"";","""Terms & Conditions"";","""Terms & Conditions"";","""УСЛОВИЯ И ПОЛОЖЕНИЯ"""";","""Terms & Conditions"";",,"""TERMA DAN SYARAT"";"
