,files,keys,en,hi,id,ko,th,zh-Hant,Base,ja,vi,zh-Hans
0,Flabuless/Presentation Layer/Rewards/NewRedeemedCells/RedeemRewardCodeCell.strings,"""7Ds-wK-RJ1.text""","""TRACKING CODE:"";","""hindi updated again"";",,,,,,"""クーポンコード："";",,
1,Flabuless/Presentation Layer/Rewards/NewRedeemedCells/RedeemRewardCodeCell.strings,"""Cpq-VI-U6l.text""","""39276-6E2F1FD4AC"";",,,,,,,"""39276-6E2F1FD4AC"";",,
2,Flabuless/Presentation Layer/Rewards/NewRedeemedCells/RedeemRewardCodeCell.strings,"""Sv5-1V-6K2.normalTitle""","""COPY"";",,,,,,,"""コピー"";",,
0,Flabuless/Presentation Layer/WeightLoss/HeightPickerVC.strings,"""mz6-6q-Rpj.title""","""Ft & Inch"";","""फीट और इंच full blown"";","""Kaki & Inci"";","""피트 및 인치"";","""ฟุตและนิ้ว"";","""英尺和英寸"";",,"""Ft＆インチ"";","""Ft & Inch"";","""英尺和英寸"";"
1,Flabuless/Presentation Layer/WeightLoss/HeightPickerVC.strings,"""UZg-q2-6Xd.text""","""YOUR HEIGHT"";","""आपकी लम्बाई"";","""TINGGI BADAN ANDA"";","""내 키"";","""ส่วนสูงของคุณ"";","""您的身高"";",,"""あなたの身長"";","""CHIỀU CAO CỦA BẠN"";","""您的身高"";"
2,Flabuless/Presentation Layer/WeightLoss/HeightPickerVC.strings,"""ff7-Zt-wVG.title""","""Done"";","""पूरा"";","""Selesai"";","""완료"";","""เสร็จ"";","""完成"";",,"""完了"";","""Hoàn tất"";","""完成"";"
3,Flabuless/Presentation Layer/WeightLoss/HeightPickerVC.strings,"""tWk-za-e4g.text""","""0 CM"";","""0 सेमी"";","""0 CM"";","""0 CM"";","""0 ซม."";","""0 公分"";",,"""0 CM"";","""0 CM"";","""0 厘米"";"
4,Flabuless/Presentation Layer/WeightLoss/HeightPickerVC.strings,"""toJ-Uv-mVT.title""","""CM"";","""सेमी"";","""CM"";","""CM"";","""ซม."";","""公分"";",,"""CM"";","""CM"";","""厘米"";"
5,Flabuless/Presentation Layer/WeightLoss/HeightPickerVC.strings,"""CvB-8b-DEK.normalTitle""","""Cancel"";","""रद्द "";","""Batalkan"";","""취소"";","""ยกเลิก"";","""取消"";",,"""キャンセル"";","""Hủy"";","""取消"";"
0,Flabuless/Presentation Layer/NewEventDesign/EventGallery/EventGalleryTableViewCell.strings,"""bht-et-4kl.normalTitle""","""See all"";","""See all"";","""See all"";","""See all"";","""See all"";","""See all"";",,"""すべて見る"";","""See all"";","""See all"";"
1,Flabuless/Presentation Layer/NewEventDesign/EventGallery/EventGalleryTableViewCell.strings,"""AxF-di-UMr.text""","""PHOTOS"";","""PHOTOS"";","""PHOTOS"";","""PHOTOS"";","""PHOTOS"";","""PHOTOS"";",,"""写真"";","""PHOTOS"";","""图片"";"
0,Flabuless/Presentation Layer/BenefitSt Fit/Dashboard/NewDashboard.strings,"""8xP-g4-sxp.text""","""Pts"";",,,,,,,"""ポイント"";",,
1,Flabuless/Presentation Layer/BenefitSt Fit/Dashboard/NewDashboard.strings,"""T1C-im-0Xb.text""","""0"";",,,,,,,"""0"";",,
2,Flabuless/Presentation Layer/BenefitSt Fit/Dashboard/NewDashboard.strings,"""54n-MG-ArC.text""","""Label"";",,,,,,,"""Label"";",,
3,Flabuless/Presentation Layer/BenefitSt Fit/Dashboard/NewDashboard.strings,"""RIy-Xb-Y8u.text""","""steps"";",,,,,,,"""歩"";",,
4,Flabuless/Presentation Layer/BenefitSt Fit/Dashboard/NewDashboard.strings,"""Uo6-ID-tJB.normalTitle""","""健康ポイント"";",,,,,,,"""健康ポータル"";",,
5,Flabuless/Presentation Layer/BenefitSt Fit/Dashboard/NewDashboard.strings,"""FML-sk-maN.text""","""Connected with"";",,,,,,,"""つながっている"";",,
6,Flabuless/Presentation Layer/BenefitSt Fit/Dashboard/NewDashboard.strings,"""oPu-Fn-7Ke.text""","""0"";",,,,,,,"""0"";",,
7,Flabuless/Presentation Layer/BenefitSt Fit/Dashboard/NewDashboard.strings,"""zg9-JL-18u.text""","""Total Points:"";",,,,,,,"""合計ポイント"";",,
8,Flabuless/Presentation Layer/BenefitSt Fit/Dashboard/NewDashboard.strings,"""OZ3-vT-vvq.text""","""0"";",,,,,,,"""0"";",,
9,Flabuless/Presentation Layer/BenefitSt Fit/Dashboard/NewDashboard.strings,"""3Ok-Ls-lSX.text""","""0"";",,,,,,,"""0"";",,
10,Flabuless/Presentation Layer/BenefitSt Fit/Dashboard/NewDashboard.strings,"""YNQ-fw-at3.text""","""Pts"";",,,,,,,"""ポイント"";",,
11,Flabuless/Presentation Layer/BenefitSt Fit/Dashboard/NewDashboard.strings,"""s0h-IF-GHu.normalTitle""","""MORE"";",,,,,,,"""詳細"";",,
12,Flabuless/Presentation Layer/BenefitSt Fit/Dashboard/NewDashboard.strings,"""ZUR-UY-Ydh.text""","""DASHBOARD"";",,,,,,,"""ダッシュボード"";",,
13,Flabuless/Presentation Layer/BenefitSt Fit/Dashboard/NewDashboard.strings,"""lER-do-h9N.text""","""yyyy / mm / dd"";",,,,,,,"""yyyy / mm / dd"";",,
14,Flabuless/Presentation Layer/BenefitSt Fit/Dashboard/NewDashboard.strings,"""d6o-aa-54y.text""","""0"";",,,,,,,"""0"";",,
15,Flabuless/Presentation Layer/BenefitSt Fit/Dashboard/NewDashboard.strings,"""UMP-gB-bfm.normalTitle""","""ベネフィット・ステーション"";",,,,,,,"""ベネフィット・ステーション"";",,
0,Flabuless/Presentation Layer/Health-Check In/FacilitySection/FacilityDetailCell/FacilityNameCellTableViewCell.strings,"""e0J-jW-9HS.normalTitle""","""CHECK IN"";","""चेक इन updated"";","""MENDAFTAR"";","""체크인"";","""ตรวจสอบใน"";","""報到"";",,"""チェックイン"";","""ĐĂNG KÝ VÀO"";","""签到"";"
1,Flabuless/Presentation Layer/Health-Check In/FacilitySection/FacilityDetailCell/FacilityNameCellTableViewCell.strings,"""GMy-3c-GpO.text""","""Montigo Resort, Nogsa"";","""Montigo Resort, Nogsa"";","""Montigo Resort, Nogsa"";","""Montigo Resort, Nogsa"";","""Montigo Resort, Nogsa"";","""Montigo Resort, Nogsa"";",,"""Montigo Resort, Nogsa"";","""Montigo Resort, Nogsa"";","""Montigo Resort, Nogsa"";"
2,Flabuless/Presentation Layer/Health-Check In/FacilitySection/FacilityDetailCell/FacilityNameCellTableViewCell.strings,"""lRy-S7-GOL.text""","""Jl. Hang Lekir, Nongsa, BatamIndonesia 29465"";","""Jl. Hang Lekir, Nongsa, BatamIndonesia 29465"";","""Jl. Hang Lekir, Nongsa, BatamIndonesia 29465"";","""Jl. Hang Lekir, Nongsa, BatamIndonesia 29465"";","""Jl. Hang Lekir, Nongsa, BatamIndonesia 29465"";","""Jl. Hang Lekir, Nongsa, BatamIndonesia 29465"";",,"""Jl. Hang Lekir, Nongsa, BatamIndonesia 29465"";","""Jl. Hang Lekir, Nongsa, BatamIndonesia 29465"";","""Jl. Hang Lekir, Nongsa, BatamIndonesia 29465"";"
0,Flabuless/Presentation Layer/NewEventDesign/NewCheckinViewController/CustomCells/EventCommonCell.strings,"""Hb8-uu-pSJ.text""","""Description"";","""Description"";","""Description"";","""Description"";","""Description"";","""Description"";",,"""Description"";","""Description"";","""活动描述"";"
1,Flabuless/Presentation Layer/NewEventDesign/NewCheckinViewController/CustomCells/EventCommonCell.strings,"""4Cl-du-NaC.text""","""Title"";","""Title"";","""Title"";","""Title"";","""Title"";","""Title"";",,"""Title"";","""Title"";","""Title"";"
0,Flabuless/Presentation Layer/NewEventDesign/EventImageTableViewCell.strings,"""OYh-hH-1RW.text""","""DETAIL"";","""विस्तृत "";","""Rincian"";","""상세 정보"";","""รายละเอียด"";","""詳細資訊"";",,"""詳細"";","""Ảnh Gốc"";","""详细信息"";"
1,Flabuless/Presentation Layer/NewEventDesign/EventImageTableViewCell.strings,"""f6j-Pb-QMX.text""","""ADD PHOTO"";","""फोटो लगाएं "";","""Tambah Foto"";","""사진 바꾸기"";","""เพิ่มรูปภาพ"";","""上传图片"";",,"""写真を追加"";","""Thêm Ảnh"";","""添加照片"";"
2,Flabuless/Presentation Layer/NewEventDesign/EventImageTableViewCell.strings,"""CSw-lr-INf.text""","""THUMBNAIL"";","""संक्षिप्त"";","""Gambar Mini"";","""섬네일"";","""รูปขนาดย่อ"";","""縮圖"";",,"""サムネイル"";","""Ảnh Đại diện Thu nhỏ"";","""缩略图"";"
0,Flabuless/Presentation Layer/Add meal/MealCarousel/Custom Cell/TagCollectionViewCell.strings,"""Y5n-hx-d61.text""","""Label"";","""लेबल"";","""Label"";","""라벨"";","""ป้ายกำกับ"";","""標籤"";",,"""ラベル"";","""Nhãn"";","""标签"";"
0,Flabuless/Layouts/Apps Specific/Bridgestone/Login.strings,"""bk5-5M-skz.normalTitle""","""Lets get started"";","""आएँ शुरू करें"";","""Mari kita mulai"";","""시작하자"";","""มาเริ่มกันเลย"";","""讓我們開始吧"";",,"""始めましょう"";","""Băt đâu nao"";","""让我们开始吧"";"
